IDD;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;Einheitstitel;Alternativtitel;Umfang;Format;Sprache;Anmerkung;USTC_Subject;Verfasser_a;GND_a;Titel_a;Verfasser_b;GND_b;Titel_b;Verfasser_c;GND_c;Titel_c;anmerkung_ort;Druckort;gnd_Ort;Land;gnd_Land;anmerkung_ort_b;Druckort_b;gnd_Ort_b;Land_b;gnd_Land_b
IDD-200;M29974;ip00203000;P-47;null;null;747728;Schreckenberg III (1994) 498-501;Scrutinium scripturarum;null;ff. [218];2°;Latein;Signaturen [a10 b12 c–k10 l8 m–r10 s12 t–x10 y6];Religious;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Scrutinium scripturarum;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-201;M29976;ip00205000;null;null;null;747729;Schreckenberg III (1994) 498-501;Scrutinium scripturarum;null;ff. [218];2°;Latein;Signaturen [ab10 c12 d–k10 l8 m–r10 s12 t–x10 y6];Religious;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Scrutinium scripturarum;null;null;null;null;null;null;null;Mainz;4037124-4;Deutschland, Rheinland-Pfalz;XA-DE-RP;null;null;null;null;null
IDD-202;M2269750;ip00913500;null;null;V 2488;748215;null;Wie zu Plonig ein Christ eines Juden Tochter schwanger machte (Lied);null;ff. [4];8°;Deutsch;Holzschnitt, Exemplar der UB Erlangen-Nürnberg (signatur möglicherweise: Inc. 1446a) verloren?;Literature;null;null;Wie zu Plonig ein Christ eines Juden Tochter schwanger machte (Lied);null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-203;M39862;is00109000;null;null;null;748741;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;ff. [24];4°;Latein;Ausstattung: Exemplar der USB Köln mit farbigen Initialen;Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;Apud Lyskirchen;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-204;M39861;is00110000;A-444;null;null;748742;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Rationes breues magni rabi Samuelis iudei nati. sed de iudaismo ad fidem catholicam conuersi. quib(us) quiuis verus christicola. saltem modice sapiens potest iudeorum errores valide et aperte reprobare (et) co(n)demnare. (et) eos tam ex nostris q(uam) ex suis proprijs prophetis efficacissime conuincere;ff. [24];4°;Latein;"Signatur: AA-DD6. mit Illustraion (Titelholzschnitt). BSB-Ink: ""mit Widmungsbrief des Autors an Hugo de Vaucemain, General des Dominikanerordens. mit Inhaltsverzeichnis, Fassung B (Kap. 1-25)""";Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-205;M39824;is00113000;A-446;null;null;748743;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;"Epistola contra Judaeorum errores. Prophetiae de venturo Christo Patriarcharum, Sibyllae, Prophetarum; Pseudo- Pontius Pilatus: Epistola ad Tiberium";(ff. 42?);4°;Latein;"Sammelwerk; daran: Prophetiae de venturo Christo Patriarcharum, Sibyllae, Prophetarum; Pseudo- Pontius Pilatus: Epistola ad Tiberium";Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-206;M39860;is00114000;null;null;null;748744;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;ff. [24];4°;Latein;Signaturen: AA-DD6;Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-207;M39845;is00115700;A-447;null;null;748745;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Epistola contra Judaeorum errores (German) Tr: Meister Fremhart, Pfarrer zu Strazgang, from the Latein of Alphonsus Boni Hominis (2) Ein Capitel oder ein samnung die gemacht hat maister Samuel ein Jud;ff. [30];4°;Deutsch;"Übersetzung ins Deutsche. BSB-Ink: "" (Kap. 1-26), Fassung B""";Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-208;M39848;is00116000;A-448;null;null;748746;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;"(1) Epistola contra Judaeorum errores. Prophetiae de venturo Christo Patriarcharum, Sibyllae, Prophetarum; Pseudo- Pontius Pilatus: Epistola ad Tiberium ; (2) Ein epistel Rabbi Samuelis deß Juden, (BSB)";ff. (24);4°;Deutsch;"Übersetzung ins Deutsche; Sammerlwerk, daran: Prophetiae de venturo Christo Patriarcharum, Sibyllae, Prophetarum und Pseudo- Pontius Pilatus: Epistola ad Tiberium, beide ebenfalls ins Deutsche übersetzt; Signatur: a-d6; BSB-Ink: ""(Kap. 1-27), Fassung B"".";Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-209;M42041;is00495000;S-380;null;null;748947;Christoph M. Cluse, Jewish Moneylending in Dominican Preaching, Confession, and Counselling. Some Examples from Later Medieval Germany, in: Dominikaner und Juden / Dominicans and Jews. Personen, Konflikte und Perspektiven vom 13. bis zum 20. Jahrhundert / Personalities, Conflicts, and Perspectives from the 13th to the 20th Century, hrsg. von Elias H. Füllenbach OP und Gianfranco Miletto , S. 195-230;Determinatio duarum quaestionum.;null;ff. [26];4°;Latein;Signaturen [a10 b-c8];Religious;Sifridus de Arena;104209658;Determinatio duarum quaestionum.;null;null;null;null;null;null;null;Mainz;4037124-4;Deutschland, Rheinland-Pfalz;XA-DE-RP;null;null;null;null;null
IDD-210;M42045;is00497000;S-381;null;null;748949;Christoph M. Cluse, Jewish Moneylending in Dominican Preaching, Confession, and Counselling. Some Examples from Later Medieval Germany, in: Dominikaner und Juden / Dominicans and Jews. Personen, Konflikte und Perspektiven vom 13. bis zum 20. Jahrhundert / Personalities, Conflicts, and Perspectives from the 13th to the 20th Century, hrsg. von Elias H. Füllenbach OP und Gianfranco Miletto , S. 195-230;Responsio ad quattuor quaestiones;null;ff. 10;4°;Latein;Signaturen [a10];Religious;Sifridus de Arena;104209658;Responsio ad quattuor quaestiones;null;null;null;null;null;null;null;Mainz;4037124-4;Deutschland, Rheinland-Pfalz;XA-DE-RP;null;null;null;null;null
IDD-211;(1) M42241. (2) GW(Einbl) 1324;is00528750;S-38;null;null;748968;VL VIII 1260–1275. XI 1435–1436. Schöner (2002) 350-353, Nr. 30. Gisela Ecker, Einblattdrucke von den Anfängen bis 1555. Untersuchungen zu einer Publikationsform literarischer Texte, 2 Bde (= Göppinger Arbeiten zur Germanistik 314, 1/2), Göppingen 1981, hier Bd. 2, Nr. 171, Abb. 55 [Bd. 1: urn:nbn:de:hbz:466:2-7075. Bd. 2: urn:nbn:de:hbz:466:2-7118];Historia S. Simonis Tridentini;(1) Gedicht von dem Knaben Simon zu Trient (ISTC) (2) Historia S. Simonis Tridentini, deutsch. Simon, ein Kind bin ich genannt. (Gedicht über den Tod des Knaben Simon zu Trient) (GW);ff. [1];Einblattdruck;Deutsch;Holzschnitt, betrifft den Ritualmord an Simon von Trient. https://www.gesamtkatalogderwiegendrucke.de/docs/SIMON.htm;Poetry;null;null;Historia S. Simonis Tridentini;null;null;null;null;null;null;null;Ulm;4061529-7;Deutschland, Baden-Württemberg;XA-DE-BW;null;null;null;null;null
IDD-212;M44004;is00790100;null;null;null;749225;null;Geschichte der Juden zu Sternberg mit dem Sakrament;null;ff. 4;4°;Deutsch;betrifft Hostienfrevel in Sternberg 1492;History and Chronicles;null;null;Geschichte der Juden zu Sternberg mit dem Sakrament;null;null;null;null;null;null;null;Bamberg;4004391-5;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-213;M44007;is00790150;null;null;null;749226;null;Geschichte der Juden zu Sternberg mit dem Sakrament;null;ff. 6;4°;Deutsch;betrifft Hostienfrevel in Sternberg 1492;History and Chronicles;null;null;Geschichte der Juden zu Sternberg mit dem Sakrament;null;null;null;null;null;null;null;Magdeburg;4036934-1;Deutschland, Sachsen-Anhalt;XA-DE-ST;null;null;null;null;null
IDD-214;M44005;is00790200;null;null;null;749227;null;Geschichte der Juden zu Sternberg mit dem Sakrament;null;ff. 4;4°;Deutsch;betrifft Hostienfrevel in Sternberg 1492. Holzschnitt. zu den Druckern: GW-Ms;History and Chronicles;null;null;Geschichte der Juden zu Sternberg mit dem Sakrament;null;null;null;null;null;null;(1) Basel (USTC, GW). (2) Speyer (ISTC);Basel;4004617-5;Schweiz, Kanton Basel;XA-CH-BS;(1) Basel (USTC, GW). (2) Speyer (ISTC);Speyer;4056179-3;Deutschland, Rheinland-Pfalz;XA-DE-RP
IDD-215;(1) M44006. (2) GW(Nachtr) 338;is00790220;null;null;null;749228;null;Geschichte der Juden zu Sternberg mit dem Sakrament;null;ff. 4;4°;Niederdeutsch;betrifft Hostienfrevel in Sternberg 1492. Holzschnitt. zu den Druckern: GW-Ms;History and Chronicles;null;null;Geschichte der Juden zu Sternberg mit dem Sakrament;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-216;M44011;is00790230;null;null;null;749229;null;Geschichte der Juden zu Sternberg mit dem Sakrament;null;ff. [1];Einblattdruck;Niederdeutsch;betrifft Hostienfrevel in Sternberg 1492. Holzschnitt. Einblattdruck;History and Chronicles;null;null;Geschichte der Juden zu Sternberg mit dem Sakrament;null;null;null;null;null;null;null;Magdeburg;4036934-1;Deutschland, Sachsen-Anhalt;XA-DE-ST;null;null;null;null;null
IDD-217;M44009;is00790250;null;null;null;749230;null;Geschichte der Juden zu Sternberg mit dem Sakrament;Van der mysehandelinge des hilligen Sacramentes;ff. 6;4°;Niederdeutsch;betrifft Hostienfrevel in Sternberg 1492. Holzschnitt;History and Chronicles;null;null;Geschichte der Juden zu Sternberg mit dem Sakrament;null;null;null;null;null;null;null;Magdeburg;4036934-1;Deutschland, Sachsen-Anhalt;XA-DE-ST;null;null;null;null;null
IDD-218;M44008;is00790260;null;null;null;749231;null;Geschichte der Juden zu Sternberg mit dem Sakrament;(S)terneberch. Ua den bosen ioden volget hyr eyn gheschicht;ff. 4;4°;Niederdeutsch;betrifft Hostienfrevel in Sternberg 1492. Holzschnitt;History and Chronicles;null;null;Geschichte der Juden zu Sternberg mit dem Sakrament;null;null;null;null;null;null;null;Lübeck;4036483-5;Deutschland, Schleswig-Holstein;XA-DE-SH;null;null;null;null;null
IDD-219;M45800;ip00575000;T-143;null;null;749299;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice;null;ff. 12;4°;Latein;null;Religious;Theobaldus de Sexannia;100961932;(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice;null;null;null;null;null;null;null;Leipzig;4035206-7;Deutschland, Sachsen-Anhalt;XA-DE-SN;null;null;null;null;null
IDD-220;M45799;ip00576000;T-144;null;null;749300;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice;null;ff. 12;4°;Latein;null;Religious;Theobaldus de Sexannia;100961932;(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-221;M45805;ip00578500;T-141;null;null;749301;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice;null;ff. [18];4°;Latein;Sigantur: a-c6;Religious;Theobaldus de Sexannia;100961932;(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-222;M45798;ip00579100;null;null;null;749302;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice;null;ff. 12;4°;Latein;null;Religious;Theobaldus de Sexannia;100961932;(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-223;M46018;it00258500;null;null;null;749345;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), 53 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-259.;(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum;Opuscula (70);ff. 574;2°;Latein;Signatur: a–c8 / a–n8 o6 O4 p–r8 ?8 ?6 S6 s8 x8 v8 u8 n8 X–Z8 z8 aa–rr8 zz8 ??8 ss8 xx8 vv8 mm8 nn8 nn8 xx–zz8 zz8 A–Ss8;Religious;Thomas von Aquin;118622110;(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum;null;null;null;null;null;null;null;südliche Niederlande;4291570-3;(1) Niederlande. (2) Belgien;(1) XA-NL. (2) XA-BE;null;null;null;null;null
IDD-224;M46406;it00282000;null;null;null;749370;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), 53 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-259.;(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum;De articulis fidei et ecclesiae sacramentis. De periculis contingentibus circum sacramentum eucharistiae. De regimine Judaeorum;ff. [20];2°;Latein;null;Religious;Thomas von Aquin;118622110;(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum;null;null;null;null;null;null;null;Basel;4004617-5;Schweiz, Kanton Basel;XA-CH-BS;null;null;null;null;null
IDD-225;M46403;it00283000;null;null;null;749371;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), 53 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-259.;(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum;De articulis fidei et ecclesiae sacramentis. De periculis contingentibus circum sacramentum eucharistiae. De regimine Judaeorum;ff. [18];2°;Latein;null;Religious;Thomas von Aquin;118622110;(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum;null;null;null;null;null;null;null;Basel;4004617-5;Schweiz, Kanton Basel;XA-CH-BS;null;null;null;null;null
IDD-226;(1) M46432. (2) GW(Nachtr) 344;it00283200;null;null;null;749373;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), 53 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-259.;(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum;De articulis fidei et ecclesiae sacramentis. De periculis contingentibus circum sacramentum eucharistiae. De regimine Judaeorum;ff. 14;2°;Latein;null;Religious;Thomas von Aquin;118622110;(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-227;M46241;it00315000;null;null;null;749391;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), 53 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-259.;(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum;(1) De periculis contingentibus circa sacramentum eucharistiae. De regimine Judaeorum. (2) De periculis contingentibus. — De Judaeis ad petitionem comitissae Flandriae;;4°;Latein;null;Religious;Thomas von Aquin;118622110;(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
